name,times_parameter,indices,topology_in_out,process_set_name,commodity_set_name,category
YearSplit,G_YRFR,"[l,y]",,,,Global
DiscountRate,G_DRATE,[r],,,,Global
DaySplit,none,"[lh,y]",,,,Global
Conversionls,none,"[l,ls]",,,,Global
Conversionld,none,"[ld,l]",,,,Global
Conversionlh,none,"[lh,l]",,,,Global
DaysInDayType,none,"[ls,ld,y]",,,,Global
TradeRoute,"region1, region2,commodity,default_year from trade_links","[r,rr,f,y]",,IRE,,Global
DepreciationMethod,none,[r],,,,Global
SpecifiedAnnualDemand,,"[r,f,y]",,,,Demands
SpecifiedDemandProfile,COM_FR,"[r,f,l,y]",,,,Demands
AccumulatedAnnualDemand,COM_PROJ,"[r,f,y]",,,DEM,Demands
CapacityToActivityUnit,PRC_CAPACT,"[r,t]",,,,Performance
CapacityFactor,NCAP_AF (UP),"[r,t,l,y]",,,,Performance
AvailabilityFactor,NCAP_AFA (UP),"[r,t,y]",,,,Performance
OperationalLife,NCAP_TLIFE,"[r,t]",,,,Performance
ResidualCapacity,PRC_RESID,"[r,t,y]",,,,Performance
InputActivityRatio,,"[r,t,f,m,y]",in,,,Performance
OutputActivityRatio,ACT_EFF,"[r,t,f,m,y]",out,,,Performance
CapitalCost,NCAP_COST,"[r,t,y]",,,,Technology costs
VariableCost,ACT_COST,"[r,t,m,y]",,,,Technology costs
FixedCost,NCAP_FOM,"[r,t,y]",,,,Technology costs
TechnologyToStorage,none,"[r,t,s,m]",,,,Storage
TechnologyFromStorage,none,"[r,t,s,m]",,,,Storage
StorageLevelStart,none,"[r,s]",,,,Storage
StorageMaxChargeRate,none,"[r,s]",,,,Storage
StorageMaxDischargeRate,none,"[r,s]",,,,Storage
MinStorageCharge,none,"[r,s,y]",,,,Storage
OperationalLifeStorage,NCAP_TLIFE,"[r,s]",,,,Storage
CapitalCostStorage,NCAP_COST,"[r,s,y]",,,,Storage
ResidualStorageCapacity,PRC_RESID,"[r,s,y]",,,,Storage
CapacityOfOneTechnologyUnit,NCAP_DISC,"[r,t,y]",,,,Capacity constraints
TotalAnnualMaxCapacity,CAP_BND (UP),"[r,t,y]",,,,Capacity constraints
TotalAnnualMinCapacity,CAP_BND (LO),"[r,t,y]",,,,Capacity constraints
TotalAnnualMaxCapacityInvestment,NCAP_BND (UP),"[r,t,y]",,,,Investment constraints
TotalAnnualMinCapacityInvestment,NCAP_BND (LO),"[r,t,y]",,,,Investment constraints
TotalTechnologyAnnualActivityUpperLimit,ACT_BND (UP),"[r,t,y]",,,,Activity constraints
TotalTechnologyAnnualActivityLowerLimit,ACT_BND (LO),"[r,t,y]",,,,Activity constraints
TotalTechnologyModelPeriodActivityUpperLimit,ACT_CUM (UP),"[r,t]",,,,Activity constraints
TotalTechnologyModelPeriodActivityLowerLimit,ACT_CUM (LO),"[r,t]",,,,Activity constraints
ReserveMarginTagTechnology,NCAP_PKCNT,"[r,t,y]",,,,Reserve margin
ReserveMarginTagFuel,COM_PEAK,"[r,f,y]",,,,Reserve margin
ReserveMargin,COM_PKRSV,"[r,y]",,,,Reserve margin
RETagTechnology,UC_FLO (UCN=RPS),"[r,t,y]",,,,RE Generation target
RETagFuel,UC_FLO (UCN=RPS),"[r,f,y]",,,,RE Generation target
REMinProductionTarget,UC_RHS (UCN=RPS),"[r,y]",,,,RE Generation target
EmissionActivityRatio,FLO_EMIS (ACT),"[r,t,e,m,y]",out,,,Emissions
EmissionsPenalty,COM_TAXNET,"[r,e,y]",,,,Emissions
AnnualExogenousEmission,,"[r,e,y]",,,,Emissions
AnnualEmissionLimit,COM_BNDNET,"[r,e,y]",,,,Emissions
ModelPeriodExogenousEmission,,"[r,e]",,,,Emissions
ModelPeriodEmissionLimit,COM_CUMNET,"[r,e]",,,,Emissions
DiscountRateStorage,,"[r,s]",,,,Storage
